id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
6849,,2850,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,sylvestris,"(Sclater, 1869)",,,,,,Lord Howe Woodhen,,,4,,,,,,,,
6851,,2852,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,okinawae,"(Yamashina & Mano, 1981)",,,,,,Okinawa Rail,,,4,,,,,,,,
6852,,31539,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,calayanensis,"Allen, Oliveros, Espanola, Broad & Gonzalez, 2004",,,,,,Calayan Rail,,,5,,,,,,,,
6853,,2853,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,torquatus,"(Linnaeus, 1766)",,,,,,Barred Rail,,,8,,,,,,,,
6854,,2854,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,insignis,"(Sclater, 1880)",,,,,,New Britain Rail,,,9,,,,,,,,
6855,,2855,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,philippensis,"(Linnaeus, 1766)",,,,,Rallus philippensis (12);,Buff-banded Rail,,,8,,,,,,,,
6856,,2856,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,rovianae,"Diamond, 1991",,,,,,Roviana Rail,,,9,,,,,,,,
6857,,2857,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,owstoni,"(Rothschild, 1895)",,,,,,Guam Rail,,,2,,,,,,,,
6858,,2858,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,wakensis,"(Rothschild, 1903)",,,,,,Wake Island Rail,,,1,,,,,,,,
6859,,2859,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,pacificus,"(Gmelin, 1789)",,,,,,Tahiti Rail,,,1,,,,,,,,
6860,,2860,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,dieffenbachii,"(Gray, 1843)",,,,,,Dieffenbach's Rail,,,1,,,,,,,,
6862,,2863,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallirallus,striatus,"(Linnaeus, 1766)",,,,,,Slaty-breasted Rail,,,8,,,,,,,,
